RSS 5G,RSS 4G,Ad 5G,Ad 4G,Humidity
-80.0754,-55.6082,13.7322,2.79118,80
-79.7647,-55.5496,13.4215,2.73253,80
-79.7647,-55.5496,13.4215,2.73253,80
-79.7259,-55.5422,13.3828,2.72519,81
-80.1172,-55.6192,13.774,2.80212,79
-79.9393,-55.5796,13.5962,2.76252,79
-79.9201,-55.5759,13.5769,2.7589,80
-80.4858,-55.6852,14.1426,2.86817,82
-80.6003,-55.7133,14.2571,2.89631,83
-80.6808,-55.7318,14.3376,2.91477,83
-80.7417,-55.7433,14.3985,2.92624,82
-80.2304,-55.6436,13.8873,2.82658,78
-79.4855,-55.4911,13.1423,2.67409,77
-79.4835,-55.488,13.1403,2.67091,81
-80.0975,-55.6154,13.7543,2.7984,79
-79.4605,-55.4892,13.1173,2.67212,81
-79.9697,-55.5913,13.6265,2.77424,81
-79.6075,-55.5225,13.2643,2.7055,82
-79.8628,-55.5739,13.5196,2.75686,84
-80.2114,-55.646,13.8682,2.82895,84
-80.2725,-55.6576,13.9293,2.84058,83
-80.1856,-55.6381,13.8425,2.82111,84
-80.6916,-55.7371,14.3484,2.92008,86
-81.0607,-55.8135,14.7175,2.99645,82
-80.5301,-55.7002,14.187,2.88312,82
-80.5401,-55.702,14.197,2.885,80
-79.9684,-55.5881,13.6252,2.77101,75
-79.1737,-55.4242,12.8306,2.60715,72
-78.678,-55.3234,12.3349,2.50634,72
-78.4846,-55.287,12.1414,2.46992,73
-78.7692,-55.343,12.4261,2.52592,70
-78.4478,-55.2754,12.1046,2.4584,67
-77.9993,-55.1848,11.6561,2.36779,64
-77.6548,-55.1145,11.3117,2.29744,62
-77.65,-55.11,11.3069,2.29299,59
-77.3637,-55.0516,11.0205,2.23459,57
-77.2781,-55.0326,10.9349,2.21559,57
-77.1545,-55.0096,10.8113,2.19257,57
-77.1699,-55.0125,10.8268,2.19544,55
-76.8296,-54.9461,10.4864,2.12911,55
-76.6633,-54.9149,10.3201,2.0979,55
-76.5052,-54.8852,10.162,2.06812,54
-76.4894,-54.881,10.1463,2.064,55
-76.5879,-54.9008,10.2448,2.08372,55
-76.6256,-54.9079,10.2824,2.09081,53
-76.4307,-54.8688,10.0875,2.0518,52
-76.3517,-54.8529,10.0085,2.03582,53
-76.2971,-54.8436,9.95398,2.02661,53
-76.1271,-54.8115,9.78395,1.99443,54
-76.1246,-54.812,9.78146,1.99498,56
-76.5453,-54.8939,10.2022,2.07688,58
-76.7322,-54.9317,10.3891,2.11466,61
-77.168,-55.018,10.8248,2.201,62
-77.4181,-55.0666,11.0749,2.24958,64
-77.8013,-55.1419,11.4581,2.32486,70
-78.3702,-55.2609,12.027,2.44383,75
-79.0825,-55.407,12.7393,2.58998,79
-79.5751,-55.5109,13.2319,2.69381,83
-80.4984,-55.6974,14.1553,2.88036,86
-81.0817,-55.8175,14.7386,3.00044,86
-80.9869,-55.7995,14.6437,2.98248,85
-80.8792,-55.7759,14.536,2.95881,87
-81.246,-55.8519,14.9029,3.0349,86
-80.8606,-55.7756,14.5175,2.95852,87
-81.214,-55.8459,14.8708,3.02882,87
-81.4817,-55.8965,15.1385,3.07947,86
-81.1979,-55.8394,14.8547,3.02241,85
-81.3384,-55.8624,14.9952,3.04539,87
-81.589,-55.9168,15.2459,3.09974,85
-81.0875,-55.8152,14.7444,2.99816,83
-80.3873,-55.6764,14.0441,2.85933,85
-80.9625,-55.7916,14.6193,2.97455,85
-80.6612,-55.7345,14.318,2.9175,87
-81.246,-55.8519,14.9029,3.0349,87
-81.0432,-55.8134,14.7,2.9964,87
-81.246,-55.8519,14.9029,3.0349,88
-81.2078,-55.848,14.8647,3.03093,88
-81.3376,-55.8726,14.9945,3.0556,87
-81.2247,-55.8479,14.8815,3.03085,88
-81.446,-55.8932,15.1028,3.07617,87
-81.1072,-55.8256,14.764,3.00856,90
-81.8908,-55.9844,15.5476,3.16738,90
-81.7681,-55.9611,15.4249,3.14408,90
-81.7124,-55.9505,15.3692,3.13349,89
-81.5839,-55.9227,15.2407,3.1057,88
-81.5763,-55.9179,15.2331,3.10084,90
-82.1816,-56.0395,15.8385,3.22247,90
-82.4512,-56.0904,16.108,3.27333,88
-81.9685,-55.9919,15.6254,3.17488,89
-82.3686,-56.071,16.0254,3.25392,90
-82.3163,-56.0649,15.9731,3.2479,90
-82.395,-56.0798,16.0518,3.26274,90
-82.3837,-56.0777,16.0406,3.26062,90
-82.2602,-56.0543,15.917,3.23731,88
-81.6415,-55.9302,15.2983,3.11318,88
-81.5545,-55.9138,15.2114,3.09673,88
-81.2835,-55.8624,14.9404,3.04532,88
-81.1214,-55.8315,14.7783,3.01448,86
-80.5774,-55.7217,14.2342,2.90463,83
-79.9044,-55.5846,13.5613,2.7676,78
-79.1089,-55.4198,12.7657,2.60274,76
-78.7651,-55.3495,12.4219,2.53246,75
-78.6648,-55.3281,12.3216,2.51103,76
-79.1138,-55.4155,12.7707,2.59851,74
-78.9096,-55.3719,12.5664,2.55485,72
-78.7045,-55.3283,12.3613,2.51131,70
-78.6292,-55.3094,12.2861,2.49239,67
-78.1834,-55.2193,11.8403,2.40229,64
-77.6629,-55.116,11.3198,2.29896,63
-77.6188,-55.106,11.2756,2.28891,62
-77.5779,-55.0966,11.2348,2.27952,60
-77.3162,-55.0443,10.973,2.22728,59
-77.2698,-55.0341,10.9266,2.21706,57
-77.34,-55.0441,10.9968,2.2271,57
-77.1314,-55.0053,10.7882,2.18825,55
-76.822,-54.9447,10.4789,2.12769,56
-76.8794,-54.9568,10.5362,2.13973,55
-76.6558,-54.9135,10.3126,2.09648,56
-76.7044,-54.9239,10.3613,2.10688,54
-76.6768,-54.9163,10.3336,2.09922,54
-76.782,-54.936,10.4389,2.11894,55
-76.9738,-54.9731,10.6306,2.15606,55
-76.9966,-54.9774,10.6534,2.16032,57
-77.0467,-54.9895,10.7035,2.17242,60
-77.1513,-55.0134,10.8081,2.19636,62
-77.4101,-55.0651,11.0669,2.24808,66
-77.6707,-55.1211,11.3275,2.30405,70
-78.2669,-55.2414,11.9238,2.42441,77
-79.4274,-55.4774,13.0842,2.66035,82
-80.5201,-55.6983,14.177,2.88123,84
-80.6916,-55.7371,14.3484,2.92008,84
-80.6608,-55.7313,14.3177,2.91426,81
-80.1861,-55.6322,13.843,2.81513,82
-80.111,-55.621,13.7678,2.80396,83
-80.236,-55.6477,13.8928,2.83067,84
-80.3234,-55.6673,13.9803,2.85028,86
-80.8606,-55.7756,14.5175,2.95852,86
-80.9553,-55.7935,14.6121,2.97649,87
-81.3209,-55.8661,14.9778,3.04908,87
-81.2674,-55.856,14.9243,3.03895,87
-81.2781,-55.858,14.935,3.04098,87
-81.3102,-55.8641,14.9671,3.04705,87
-81.0645,-55.8175,14.7214,3.00046,86
-80.6822,-55.7416,14.339,2.92459,86
-80.7136,-55.7476,14.3705,2.93058,86
-87.0974,-57.0464,20.7543,4.22931,87
-80.8091,-55.7689,14.4659,2.95184,85
-80.2685,-55.6598,13.9254,2.84275,82
-79.6749,-55.5381,13.3317,2.72106,82
-79.7935,-55.5607,13.4503,2.74367,82
-80.0017,-55.6003,13.6585,2.78324,81
-80.0385,-55.6043,13.6953,2.78725,81
-80.3144,-55.6563,13.9712,2.83929,82
-80.6304,-55.719,14.2872,2.90196,81
-80.4924,-55.6898,14.1492,2.87274,81
-80.344,-55.6619,14.0008,2.84486,80
-80.0949,-55.6119,13.7517,2.79484,84
-80.9074,-55.7778,14.5642,2.9608,86
-81.4625,-55.8894,15.1194,3.07232,86
-81.2507,-55.8494,14.9075,3.03239,86
-81.0923,-55.8195,14.7491,3.00244,88
-81.316,-55.8685,14.9728,3.05149,84
-80.5175,-55.7042,14.1743,2.88711,87
-81.0539,-55.8155,14.7107,2.99843,87
-81.0645,-55.8175,14.7214,3.00046,86
-80.9342,-55.7895,14.5911,2.9725,85
-80.7857,-55.7581,14.4425,2.94111,85
-80.4026,-55.6854,14.0594,2.86832,85
-80.5369,-55.7109,14.1938,2.89389,84
-80.3336,-55.6693,13.9905,2.85222,83
-80.236,-55.6477,13.8928,2.83067,82
-80.2005,-55.638,13.8574,2.82092,82
-80.3302,-55.6625,13.987,2.84542,82
-80.0811,-55.6154,13.738,2.79831,77
-79.2315,-55.4404,12.8883,2.62337,70
-78.1124,-55.2123,11.7693,2.39528,73
-78.6714,-55.3245,12.3282,2.5075,71
-78.5562,-55.2981,12.213,2.48106,70
-78.3616,-55.2593,12.0184,2.44221,69
-78.3696,-55.2585,12.0264,2.44149,67
-78.2926,-55.2397,11.9494,2.42268,66
-77.9019,-55.1646,11.5587,2.34753,65
-77.5878,-55.1037,11.2446,2.28663,64
-77.6142,-55.1069,11.2711,2.28982,63
-77.3214,-55.0501,10.9782,2.23304,63
-77.1295,-55.0139,10.7864,2.19681,63
-77.0976,-55.0078,10.7545,2.19077,63
-77.3294,-55.0516,10.9863,2.23455,61
